Pos,School,Wt,Dash,Vertical,Bench,Broad_Jump,Cone,Shuttle
LS,Pittsburgh,235,4.97,29.5,18,107,7.53,4.62
TE,Nebraska,253,4.83,34,,121,7,4.26
TE,Iowa St.,251,,33.5,,117,7.03,4.43
EDGE,Alabama,241,,,,,,
RB,BYU,224,4.6,33,,120,,
LB,Montana St.,243,4.42,36,,128,,
S,Toledo,209,4.36,35.5,,123,6.64,4.28
OG,Minnesota,308,5.1,30.5,,106,7.84,4.68
P,San Diego St.,200,4.68,32,,121,,
CB,Alabama,197,4.39,34.5,14,,,
LB,Oklahoma,226,4.56,36.5,,124,,
WR,Memphis,170,4.32,39,,135,6.65,4.07
RB,Missouri,197,4.45,33.5,,121,,
CB,Baylor,183,4.23,,,,,
EDGE,Virginia Tech,246,4.36,37,,131,,4.45
LB,Cincinnati,237,,36.5,,125,6.91,
S,Florida A&M,212,4.41,36.5,,123,,4.46
WR,Purdue,212,4.65,33,,118,7.14,4.57
RB,San Diego St.,201,,31,17,120,,
TE,San Diego St.,253,4.63,34.5,22,125,7.05,4.47
S,Iowa,205,4.43,36.5,,123,7.01,4.24
LB,Baylor,224,,35.5,22,123,7.03,4.25
S,Miami,209,4.47,,,116,,
WR,Alabama,193,4.66,32,,116,,
EDGE,Oklahoma,248,4.54,35.5,,120,7.07,4.23
DT,Stanford,301,4.94,,,110,7.33,4.41
CB,Clemson,194,,,,,,
RB,Washington St.,210,,,20,,,
S,Penn St.,199,4.49,34.5,22,124,,
K,Oklahoma,197,,,,,,
RB,Oklahoma,209,4.59,31,,120,,
C,Mississippi,312,,,,,,
RB,West Virginia,213,4.64,30,,118,,
CB,Arkansas,196,4.55,,,,,
OG,Wisconsin,309,5.32,31,,112,7.57,4.55
CB,Cincinnati,193,4.54,,17,,,
OG,Texas-San Antonio,304,5.19,27.5,,105,,4.73
WR,Arkansas,225,4.55,33,,122,7.28,
LB,Arizona St.,221,,,,,7.47,
DT,Tennessee,297,5,32,17,112,7.89,4.81
S,Louisiana,194,4.36,31.5,,123,,
TE,SMU,241,4.62,,20,,,
P,Georgia,193,4.56,,,,,
LB,Mississippi,232,4.57,39.5,,127,,
OG,Southern,311,5.13,30,,108,7.84,4.9
DE,Florida,282,4.99,27.5,19,110,,
CB,Penn St.,197,4.38,,,,,
RB,North Carolina,204,4.38,31,,121,,
LB,Wisconsin,250,4.53,40.5,,128,,
S,Georgia,199,4.37,36.5,,133,,
,,,,,,,,
LB,LSU,239,4.57,36.5,,127,7.12,
DE,Texas A&M,263,,,24,116,,
QB,Notre Dame,218,4.9,33,,115,6.95,4.39
S,Louisville,206,,,16,,,
RB,Mississippi,222,4.59,29.5,25,118,,
S,Cincinnati,206,,,,,,
RB,Georgia,199,4.42,33,,124,,
RB,Florida St.,202,,,,,,
S,Kentucky,203,,,23,,,
QB,Mississippi,212,,,,,,
OT,Mississippi St.,307,4.95,26,,112,7.88,4.61
S,Maryland,212,4.34,37,,130,,
QB,Kent St.,210,4.75,32.5,,120,,4.36
OT,Arkansas,320,5.38,20,,98,8.5,5.16
DT,Arizona St.,327,,28,23,,7.85,4.72
DT,Georgia,341,4.78,32,,123,,
DT,Central Florida,302,,,,,,
RB,LSU,211,4.48,30,,117,,
LB,Georgia,229,,,,,,
C,Texas Tech,306,5.12,29,24,108,7.52,4.49
OT,LSU,321,5.08,28.5,,109,,4.99
K,Texas,220,,,,,,
OT,Arizona St.,301,4.89,32.5,,110,7.77,4.43
WR,Nicholls St.,205,4.62,34,,125,7.28,4.42
LB,Nebraska,228,4.62,34.5,,119,,
WR,Penn St.,178,4.43,36,,121,7.28,
WR,Nevada,201,,,,,,
WR,Mississippi,215,4.65,34,,122,,
TE,UCLA,243,4.69,34,16,122,7.05,4.37
OG,San Diego St.,328,5.44,26,25,95,7.97,4.91
CB,South Carolina St.,180,4.38,,,,,
RB,Mississippi,189,4.52,34.5,,128,,
EDGE,Penn St.,250,,38,21,128,,
RB,Baylor,206,4.43,30,,,,
OT,North Carolina St.,310,4.93,29,,108,7.82,4.73
CB,Florida,191,4.39,,,,,
QB,Western Michigan,208,,25.5,,111,7.57,
DT,Idaho,346,5.66,,,,,
CB,Mississippi St.,201,4.53,,,,,
DE,South Carolina,258,4.87,36.5,,117,,
CB,Missouri,197,4.46,36,,129,,
OT,TCU,321,5.17,27.5,18,104,8.2,5.08
OG,North Carolina,308,5.19,28.5,,105,7.83,4.56
WR,Texas Tech,209,,36.5,,126,,4.38
OT,Minnesota,384,,,24,,,
DT,LSU,330,5.41,21.5,,,8.41,
TE,Wisconsin,250,4.81,31.5,15,118,7.03,4.48
CB,Texas Tech,193,4.48,34.5,,,,
CB,LSU,175,,,,,,
RB,Cincinnati,210,4.46,31,,118,,
,,,,,,,,
DT,Miami,333,,29,,102,,
C,Kentucky,307,5.21,24,,102,7.75,4.95
WR,Indiana,204,4.53,39,,127,,
CB,Cincinnati,190,4.41,,,,,
DT,Ohio St.,300,5.07,24,,,,
LB,North Carolina,226,,,,,,
P,North Carolina St.,220,,,,,,
OG,Central Michigan,312,,,26,,,
CB,Clemson,176,4.52,,,,,
RB,Iowa,197,4.42,36.5,,123,,
CB,Washington,194,4.52,,,,,
LB,Boston Col.,230,4.63,34.5,,124,,
WR,SMU,186,4.33,34,,126,,
CB,Michigan,192,4.54,,,,,
OG,Texas A&M,323,5.24,26,20,102,,5.12
EDGE,Coastal Carolina,258,4.7,35.5,,122,7.21,4.35
RB,Iowa St.,217,4.39,40,,126,,
TE,Oklahoma,239,4.96,29,19,111,7.43,4.62
DE,Houston,283,4.88,30,,,7.25,4.44
S,Notre Dame,220,4.59,38,,131,6.9,4.32
LB,Illinois,238,,,21,,,
LB,Texas A&M,239,,,24,,,
LB,Alabama,226,4.44,34.5,,132,,
RB,South Carolina,221,,38.5,21,126,,
S,Oklahoma St.,213,,,21,,,
RB,Michigan,228,,,27,,,
P,Illinois,226,,,,,,
